Tarih.2020,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018
01.01.2020,12,14,5
02.01.2020,8,7,10
03.01.2020,11,10,7
04.01.2020,13,7,7
05.01.2020,14,9,9
06.01.2020,13,7,10
07.01.2020,6,10,4
08.01.2020,8,10,7
09.01.2020,10,9,6
10.01.2020,10,6,7
11.01.2020,11,10,7
12.01.2020,11,8,7
13.01.2020,10,11,7
14.01.2020,6,9,5
15.01.2020,8,12,7
16.01.2020,7,6,9
17.01.2020,6,15,9
18.01.2020,10,9,7
19.01.2020,8,8,6
20.01.2020,6,5,8
21.01.2020,3,12,6
22.01.2020,6,13,3
23.01.2020,9,8,6
24.01.2020,7,6,8
25.01.2020,6,13,7
26.01.2020,5,9,12
27.01.2020,8,8,8
28.01.2020,5,4,13
29.01.2020,9,9,10
30.01.2020,14,9,12
31.01.2020,6,7,10
01.02.2020,2,9,5
02.02.2020,10,3,7
03.02.2020,3,7,8
04.02.2020,12,6,10
05.02.2020,13,8,7
06.02.2020,9,6,10
07.02.2020,6,11,9
08.02.2020,8,10,6
09.02.2020,5,5,6
10.02.2020,4,6,6
11.02.2020,10,4,8
12.02.2020,6,8,9
13.02.2020,7,11,7
14.02.2020,9,3,10
15.02.2020,12,10,8
16.02.2020,6,4,9
17.02.2020,4,5,5
18.02.2020,9,8,8
19.02.2020,9,5,9
20.02.2020,5,8,8
21.02.2020,12,8,4
22.02.2020,4,6,5
23.02.2020,13,5,3
24.02.2020,5,8,18
25.02.2020,8,6,6
26.02.2020,7,6,3
27.02.2020,10,5,4
28.02.2020,8,5,7
29.02.2020,9,5,7
01.03.2020,5,8,7
02.03.2020,6,6,5
03.03.2020,6,9,5
04.03.2020,7,1,7
05.03.2020,3,15,5
06.03.2020,7,6,4
07.03.2020,9,9,6
08.03.2020,6,11,10
09.03.2020,10,6,4
10.03.2020,6,7,7
11.03.2020,4,4,5
12.03.2020,3,7,8
13.03.2020,11,5,4
14.03.2020,8,6,11
15.03.2020,4,14,9
16.03.2020,10,5,6
17.03.2020,6,11,9
18.03.2020,8,7,11
19.03.2020,6,6,5
20.03.2020,7,6,5
21.03.2020,4,8,8
22.03.2020,11,7,5
23.03.2020,11,5,11
24.03.2020,9,2,6
25.03.2020,9,9,5
26.03.2020,9,7,9
27.03.2020,10,5,9
28.03.2020,10,6,8
29.03.2020,7,8,4
30.03.2020,2,6,6
31.03.2020,13,4,6
01.04.2020,14,5,7
02.04.2020,6,5,5
03.04.2020,12,5,7
04.04.2020,13,5,10
05.04.2020,11,8,8
06.04.2020,13,7,10
07.04.2020,7,5,6
08.04.2020,4,7,6
09.04.2020,7,2,3
10.04.2020,13,12,4
11.04.2020,6,11,5
12.04.2020,7,11,7
13.04.2020,11,11,7
14.04.2020,8,5,7
15.04.2020,11,2,12
16.04.2020,7,7,10
17.04.2020,10,5,5
18.04.2020,7,4,9
19.04.2020,1,10,4
20.04.2020,13,9,10
21.04.2020,10,4,7
22.04.2020,7,10,5
23.04.2020,11,11,4
24.04.2020,6,7,5
25.04.2020,4,7,7
26.04.2020,4,12,7
27.04.2020,6,6,11
28.04.2020,3,5,4
29.04.2020,4,4,1
30.04.2020,5,5,10
01.05.2020,3,8,4
02.05.2020,4,9,9
03.05.2020,7,8,10
04.05.2020,9,9,10
05.05.2020,10,4,7
06.05.2020,11,6,8
07.05.2020,6,9,5
08.05.2020,13,7,3
09.05.2020,3,7,12
